source_state,S. No.,District Code,District Version,District Name,District Name_1,Census 2001 Code,Census 2011 Code
Andaman and Nicobar Islands,,,,(In English),(In Local),,
Andaman and Nicobar Islands,1.0,603,1,Nicobars,NICOBARS,02,638
Andaman and Nicobar Islands,2.0,632,1,North And Middle Andaman,NORTH AND MIDDLE ANDAMAN,,639
Andaman and Nicobar Islands,3.0,602,1,South Andamans,SOUTH ANDAMANS,01,640
Andaman and Nicobar Islands,,,,,,,
Andaman and Nicobar Islands,"Sep 5, 2026, 6:24 PM",,,,,,
Andhra Pradesh,,,,(In English),(In Local),,
Andhra Pradesh,1.0,745,2,Alluri Sitharama Raju,Alluri Sitharama Raju,,000
Andhra Pradesh,2.0,744,1,Anakapalli,Anakapalli,,000
Andhra Pradesh,3.0,502,3,Ananthapuramu,అనంతపురము,22,553
Andhra Pradesh,4.0,753,4,Annamayya,Annamayya,,000
Andhra Pradesh,5.0,750,2,Bapatla,Bapatla,,000
Andhra Pradesh,6.0,503,4,Chittoor,CHITTOOR,23,554
Andhra Pradesh,7.0,747,3,Dr. B.R. Ambedkar Konaseema,డా బి ఆర్  అంబేడ్కర్ కోనసీమ,,000
Andhra Pradesh,8.0,505,6,East Godavari,EAST GODAVARI,14,545
Andhra Pradesh,9.0,748,4,Eluru,Eluru,,000
Andhra Pradesh,10.0,506,3,Guntur,GUNTUR,17,548
Andhra Pradesh,11.0,746,1,Kakinada,Kakinada,,000
Andhra Pradesh,12.0,510,4,Krishna,KRISHNA,16,547
Andhra Pradesh,13.0,511,2,Kurnool,KURNOOL,21,552
Andhra Pradesh,14.0,790,1,Markapuram,Markapuram,,
Andhra Pradesh,15.0,755,1,Nandyal,Nandyal,,000
Andhra Pradesh,16.0,749,1,Ntr,NTR,,000
Andhra Pradesh,17.0,751,1,Palnadu,Palnadu,,000
Andhra Pradesh,18.0,743,1,Parvathipuram Manyam,Parvathipuram Manyam,,000
Andhra Pradesh,19.0,791,1,Polavaram,Polavaram,,
Andhra Pradesh,20.0,517,6,Prakasam,PRAKASAM,18,549
Andhra Pradesh,21.0,519,3,Srikakulam,SRIKAKULAM,11,542
Andhra Pradesh,22.0,515,6,Sri Potti Sriramulu Nellore,శ్రీ పొట్టి శ్రీరాములు నెల్లూరు,19,550
Andhra Pradesh,23.0,754,1,Sri Sathya Sai,Sri Sathya Sai,,000
Andhra Pradesh,24.0,752,3,Tirupati,Tirupati,,000
Andhra Pradesh,25.0,520,4,Visakhapatnam,విశాఖపట్నం,13,544
Andhra Pradesh,26.0,521,3,Vizianagaram,VIZIANAGARAM,12,543
Andhra Pradesh,27.0,523,5,West Godavari,పశ్చిమగోదావరి,15,546
Andhra Pradesh,28.0,504,4,Y.S.R. Kadapa,వై.ఎస్.ఆర్. కడప,20,551
Andhra Pradesh,,,,,,,
Andhra Pradesh,"Sep 5, 2026, 6:13 PM",,,,,,
Arunachal Pradesh,,,,(In English),(In Local),,
Arunachal Pradesh,1.0,628,1,Anjaw,,,260
Arunachal Pradesh,2.0,787,5,Bichom,Bichom,,
Arunachal Pradesh,3.0,229,1,Changlang,CHANGLANG,12,253
Arunachal Pradesh,4.0,230,1,Dibang Valley,DIBANG VALLEY,10,257
Arunachal Pradesh,5.0,231,8,East Kameng,EAST KAMENG,03,247
Arunachal Pradesh,6.0,232,6,East Siang,EAST SIANG,08,251
Arunachal Pradesh,7.0,718,3,Kamle,KAMLE,,000
Arunachal Pradesh,8.0,786,1,Keyi Panyor,Keyi Panyor,,
Arunachal Pradesh,9.0,677,2,Kra Daadi,KRA DAADI,,000
Arunachal Pradesh,10.0,233,2,Kurung Kumey,KURUNG KUMEY,14,256
Arunachal Pradesh,11.0,724,1,Leparada,LEPARADA,,000
Arunachal Pradesh,12.0,234,2,Lohit,LOHIT,11,259
Arunachal Pradesh,13.0,666,1,Longding,LONGDING,,000
Arunachal Pradesh,14.0,235,1,Lower Dibang Valley,LOWER DIBANG VALLEY,15,258
Arunachal Pradesh,15.0,719,5,Lower Siang,LOWER SIANG,,000
Arunachal Pradesh,16.0,236,3,Lower Subansiri,LOWER SUBANSIRI,05,255
Arunachal Pradesh,17.0,678,1,Namsai,,,000
Arunachal Pradesh,18.0,723,4,Pakke Kessang,PAKKE KESSANG,,000
Arunachal Pradesh,19.0,237,3,Papum Pare,PAPUM PARE,04,248
Arunachal Pradesh,20.0,725,1,Shi Yomi,SHI YOMI,,000
Arunachal Pradesh,21.0,679,1,Siang,,,000
Arunachal Pradesh,22.0,238,1,Tawang,TAWANG,01,245
Arunachal Pradesh,23.0,239,2,Tirap,TIRAP,13,254
Arunachal Pradesh,24.0,240,1,Upper Siang,UPPER SIANG,09,252
Arunachal Pradesh,25.0,241,4,Upper Subansiri,UPPER SUBANSIRI,06,249
Arunachal Pradesh,26.0,242,2,West Kameng,WEST KAMENG,02,246
Arunachal Pradesh,27.0,243,4,West Siang,WEST SIANG,07,250
Arunachal Pradesh,,,,,,,
Arunachal Pradesh,"Sep 5, 2026, 6:25 PM",,,,,,
Assam,,,,(In English),(In Local),,
Assam,1.0,739,20,Bajali,,,000
Assam,2.0,616,9,Baksa,,,324
Assam,3.0,280,24,Barpeta,BARPETA,05,303
Assam,4.0,705,9,Biswanath,,,000
Assam,5.0,281,3,Bongaigaon,BONGAIGAON,04,319
Assam,6.0,282,3,Cachar,CACHAR,21,316
Assam,7.0,708,4,Charaideo,,,000
Assam,8.0,612,3,Chirang,,,320
Assam,9.0,283,5,Darrang,DARRANG,08,325
Assam,10.0,284,1,Dhemaji,DHEMAJI,13,308
Assam,11.0,285,10,Dhubri,DHUBURI,02,301
Assam,12.0,286,1,Dibrugarh,DIBRUGARH,15,310
Assam,13.0,299,2,Dima Hasao,DIMA HASAO,20,315
Assam,14.0,287,1,Goalpara,GOALPARA,03,302
Assam,15.0,288,4,Golaghat,GOLAGHAT,18,313
Assam,16.0,289,2,Hailakandi,HAILAKANDI,23,318
Assam,17.0,709,7,Hojai,,,000
Assam,18.0,290,4,Jorhat,JORHAT,17,312
Assam,19.0,291,3,Kamrup,KAMRUP,06,321
Assam,20.0,618,3,Kamrup Metro,KAMRUP MOHANAGAR,,322
Assam,21.0,292,2,Karbi Anglong,KARBI ANGLONG,19,314
Assam,22.0,294,1,Kokrajhar,KOKRAJHAR,01,300
